file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_AEIS_2019.parquet,ok,163,0,2.0,
NASDAQ_AEIS_2020.parquet,ok,142,0,1.8,
NASDAQ_AEIS_2021.parquet,ok,262,0,2.2,
NASDAQ_AEMD_2017.parquet,ok,314,0,2.5,
NASDAQ_AEMD_2018.parquet,ok,197,0,2.9,
NASDAQ_AEMD_2019.parquet,ok,188,0,1.9,
NASDAQ_AEMD_2020.parquet,ok,169,0,2.0,
NASDAQ_AEMD_2021.parquet,ok,172,0,1.9,
NASDAQ_AER_2018.parquet,ok,281,0,2.4,
NASDAQ_AER_2019.parquet,ok,257,0,2.7,
NASDAQ_AER_2020.parquet,ok,241,0,2.5,
NASDAQ_AER_2021.parquet,ok,292,0,2.7,
NASDAQ_AER_2022.parquet,ok,281,0,2.6,
NASDAQ_AERI_2018.PDF.parquet,ok,262,0,2.5,
NASDAQ_AERI_2019.parquet,ok,322,0,3.2,
NASDAQ_AERI_2020.parquet,ok,424,0,3.4,
NASDAQ_AERI_2021.parquet,ok,283,0,2.2,
NASDAQ_AESE_2019.parquet,ok,232,0,2.8,
NASDAQ_AESE_2020.parquet,ok,294,0,3.2,
NASDAQ_AEYE_2016.parquet,ok,196,0,2.2,
NASDAQ_AEYE_2017.parquet,ok,200,0,2.3,
NASDAQ_AEYE_2018.parquet,ok,337,0,2.8,
NASDAQ_AEYE_2019.parquet,ok,215,0,2.3,
NASDAQ_AEYE_2020.parquet,ok,105,0,1.6,
NASDAQ_AFH_2015.parquet,ok,185,0,2.0,
NASDAQ_AFH_2016.parquet,ok,196,0,2.0,
NASDAQ_AFH_2017.parquet,ok,209,0,2.0,
NASDAQ_AFH_2018.parquet,ok,226,0,2.0,
NASDAQ_AFMD_2017.parquet,ok,130,0,1.7,
NASDAQ_AFMD_2018.parquet,ok,128,0,1.6,
NASDAQ_AFMD_2019.parquet,ok,127,0,1.6,
NASDAQ_AFMD_2020.parquet,ok,136,0,1.8,
NASDAQ_AFMD_2021.parquet,ok,140,0,1.8,
NASDAQ_AFYA_2019.parquet,ok,388,0,2.8,
NASDAQ_AFYA_2020.parquet,ok,468,0,3.0,
NASDAQ_AGEN_2019.parquet,ok,335,0,2.4,
NASDAQ_AGEN_2020.parquet,ok,300,0,2.3,
NASDAQ_AGEN_2021.parquet,ok,297,0,2.3,
NASDAQ_AGEN_2022.parquet,ok,281,0,2.7,
NASDAQ_AGFS_2018.parquet,ok,19,0,2.1,
NASDAQ_AGFS_2019.parquet,ok,6,0,1.3,
NASDAQ_AGFS_2020.parquet,ok,8,0,1.5,
NASDAQ_AGII_2016.parquet,ok,28,0,2.4,
NASDAQ_AGII_2017.parquet,ok,31,0,1.5,
NASDAQ_AGII_2020.parquet,ok,380,0,2.9,
NASDAQ_AGIO_2017.PDF.parquet,ok,270,0,2.2,
NASDAQ_AGIO_2018.parquet,ok,245,0,2.1,
NASDAQ_AGIO_2019.parquet,ok,276,0,2.2,
NASDAQ_AGIO_2020.parquet,ok,286,0,2.2,
NASDAQ_AGIO_2021.parquet,ok,251,0,2.1,
NASDAQ_AGLE_2017.parquet,ok,212,0,2.1,
NASDAQ_AGLE_2018.parquet,ok,220,0,2.3,
NASDAQ_AGLE_2019.parquet,ok,210,0,2.2,
NASDAQ_AGLE_2020.parquet,ok,269,0,2.5,
NASDAQ_AGLE_2021.parquet,ok,221,0,2.2,
NASDAQ_AGMH_2017.parquet,ok,186,0,2.0,
NASDAQ_AGMH_2018.parquet,ok,199,0,2.1,
NASDAQ_AGMH_2019.parquet,ok,219,0,3.9,
NASDAQ_AGMH_2020.parquet,ok,186,0,1.8,
NASDAQ_AGNC_2019.parquet,ok,41,0,2.3,
NASDAQ_AGNC_2020.parquet,ok,169,0,2.0,
NASDAQ_AGNC_2021.parquet,ok,159,0,1.8,
NASDAQ_AGNC_2022.parquet,ok,206,0,2.0,
NASDAQ_AGRX_2018.parquet,ok,261,0,3.0,
NASDAQ_AGRX_2019.parquet,ok,219,0,2.5,
NASDAQ_AGRX_2020.parquet,ok,316,0,2.8,
NASDAQ_AGRX_2021.parquet,ok,199,0,2.1,
NASDAQ_AGTC_2018.parquet,ok,562,0,5.0,
NASDAQ_AGTC_2019.parquet,ok,327,0,4.6,
NASDAQ_AGTC_2020.parquet,ok,296,0,4.9,
NASDAQ_AGTC_2021.parquet,ok,401,0,3.2,
NASDAQ_AGYS_2019.parquet,ok,107,0,1.8,
NASDAQ_AGYS_2020.parquet,ok,119,0,1.6,
NASDAQ_AGYS_2021.parquet,ok,110,0,1.6,
NASDAQ_AGYS_2022.parquet,ok,118,0,1.6,
NASDAQ_AHCO_2019.parquet,ok,300,0,2.3,
NASDAQ_AHCO_2020.parquet,ok,246,0,2.2,
NASDAQ_AHCO_2021.parquet,ok,281,0,2.2,
NASDAQ_AHPI_2017.parquet,ok,78,0,1.7,
NASDAQ_AHPI_2018.parquet,ok,78,0,1.5,
NASDAQ_AHPI_2019.parquet,ok,77,0,1.5,
NASDAQ_AHPI_2020.parquet,ok,97,0,1.6,
NASDAQ_AHPI_2021.parquet,ok,86,0,1.5,
NASDAQ_AIMC_2018.parquet,ok,173,0,1.8,
NASDAQ_AIMC_2019.parquet,ok,163,0,1.8,
NASDAQ_AIMC_2020.parquet,ok,140,0,1.7,
NASDAQ_AIMC_2021.parquet,ok,140,0,1.7,
NASDAQ_AIMT_2015.PDF.parquet,ok,168,0,1.9,
NASDAQ_AIMT_2016.parquet,ok,193,0,1.9,
NASDAQ_AIMT_2017.parquet,ok,203,0,2.2,
NASDAQ_AIMT_2018.parquet,ok,240,0,21.0,
NASDAQ_AINV_2019.parquet,ok,260,0,4.1,
NASDAQ_AINV_2020.parquet,ok,345,0,2.9,
NASDAQ_AINV_2021.parquet,ok,306,0,2.6,
NASDAQ_AINV_2022.parquet,ok,257,0,2.2,
NASDAQ_AIRT_2017.parquet,ok,167,0,2.2,
NASDAQ_AIRT_2018.parquet,ok,177,0,1.9,
NASDAQ_AIRT_2019.parquet,ok,143,0,1.8,
