file,status,n_chunks,n_ticker_missing,elapsed_seconds,error
NASDAQ_ADBE_2021.parquet,ok,171,0,0.3,
NASDAQ_ADBE_2022.parquet,ok,167,0,0.3,
NASDAQ_ADES_2017.parquet,ok,221,0,0.5,
NASDAQ_ADES_2018.parquet,ok,190,0,0.4,
NASDAQ_ADES_2019.parquet,ok,180,0,0.4,
NASDAQ_ADES_2020.parquet,ok,192,0,0.5,
NASDAQ_ADES_2021.parquet,ok,180,0,0.4,
NASDAQ_ADI_2018.parquet,ok,24,0,0.2,
NASDAQ_ADI_2019.parquet,ok,162,0,0.4,
NASDAQ_ADI_2020.parquet,ok,160,0,0.5,
NASDAQ_ADI_2021.parquet,ok,159,0,0.3,
NASDAQ_ADIL_2018.parquet,ok,277,0,0.6,
NASDAQ_ADIL_2019.parquet,ok,290,0,0.6,
NASDAQ_ADIL_2020.parquet,ok,292,0,0.6,
NASDAQ_ADIL_2021.parquet,ok,349,0,0.7,
NASDAQ_ADMA_2017.parquet,ok,197,0,0.4,
NASDAQ_ADMA_2018.parquet,ok,212,0,0.5,
NASDAQ_ADMA_2019.parquet,ok,189,0,0.4,
NASDAQ_ADMA_2020.parquet,ok,18,0,0.2,
NASDAQ_ADMA_2021.parquet,ok,266,0,0.5,
NASDAQ_ADMP_2019.parquet,ok,242,0,0.5,
NASDAQ_ADMP_2020.parquet,ok,311,0,0.6,
NASDAQ_ADMP_2021.parquet,ok,250,0,0.5,
NASDAQ_ADMP_2022.parquet,ok,219,0,0.6,
NASDAQ_ADMS_2015.parquet,ok,188,0,0.4,
NASDAQ_ADMS_2016.parquet,ok,187,0,0.5,
NASDAQ_ADMS_2017.PDF.parquet,ok,207,0,0.5,
NASDAQ_ADMS_2018.parquet,ok,197,0,0.4,
NASDAQ_ADMS_2019.parquet,ok,180,0,0.3,
NASDAQ_ADRO_2016.parquet,ok,262,0,0.5,
NASDAQ_ADRO_2017.parquet,ok,243,0,0.5,
NASDAQ_ADRO_2018.parquet,ok,339,0,0.7,
NASDAQ_ADRO_2019.parquet,ok,272,0,0.5,
NASDAQ_ADSK_2019.parquet,ok,191,0,0.4,
NASDAQ_ADSK_2020.parquet,ok,189,0,0.4,
NASDAQ_ADSK_2021.parquet,ok,187,0,0.3,
NASDAQ_ADSK_2022.parquet,ok,176,0,0.4,
NASDAQ_ADTN_2019.parquet,ok,107,0,0.2,
NASDAQ_ADTN_2020.parquet,ok,193,0,0.4,
NASDAQ_ADTN_2021.parquet,ok,216,0,0.4,
NASDAQ_ADTN_2022.parquet,ok,328,0,0.7,
NASDAQ_ADUS_2019.parquet,ok,339,0,0.7,
NASDAQ_ADUS_2020.parquet,ok,342,0,0.8,
NASDAQ_ADUS_2021.parquet,ok,213,0,0.4,
NASDAQ_ADUS_2022.parquet,ok,182,0,0.4,
NASDAQ_ADVM_2019.parquet,ok,216,0,0.4,
NASDAQ_ADVM_2020.parquet,ok,252,0,0.5,
NASDAQ_ADVM_2021.parquet,ok,226,0,0.4,
NASDAQ_ADVM_2022.parquet,ok,271,0,0.5,
NASDAQ_ADXS_2018.parquet,ok,159,0,0.3,
NASDAQ_ADXS_2019.parquet,ok,178,0,0.3,
NASDAQ_ADXS_2020.parquet,ok,205,0,0.4,
NASDAQ_ADXS_2021.parquet,ok,225,0,0.4,
NASDAQ_AEGN_2016.parquet,ok,229,0,0.8,
NASDAQ_AEGN_2017.parquet,ok,229,0,0.8,
NASDAQ_AEGN_2018.parquet,ok,222,0,0.5,
NASDAQ_AEGN_2019.parquet,ok,225,0,0.7,
NASDAQ_AEHR_2017.parquet,ok,126,0,0.3,
NASDAQ_AEHR_2018.parquet,ok,96,0,0.2,
NASDAQ_AEHR_2019.parquet,ok,124,0,0.3,
NASDAQ_AEHR_2020.parquet,ok,106,0,0.2,
NASDAQ_AEHR_2021.parquet,ok,109,0,0.2,
NASDAQ_AEIS_2017.parquet,ok,137,0,0.3,
NASDAQ_AEIS_2018.parquet,ok,121,0,0.3,
NASDAQ_AEIS_2019.parquet,ok,163,0,0.4,
NASDAQ_AEIS_2020.parquet,ok,142,0,0.4,
NASDAQ_AEIS_2021.parquet,ok,262,0,0.7,
NASDAQ_AEMD_2017.parquet,ok,314,0,0.6,
NASDAQ_AEMD_2018.parquet,ok,197,0,0.4,
NASDAQ_AEMD_2019.parquet,ok,188,0,0.3,
NASDAQ_AEMD_2020.parquet,ok,169,0,0.3,
NASDAQ_AEMD_2021.parquet,ok,172,0,0.3,
NASDAQ_AER_2018.parquet,ok,281,0,0.6,
NASDAQ_AER_2019.parquet,ok,257,0,0.5,
NASDAQ_AER_2020.parquet,ok,241,0,0.5,
NASDAQ_AER_2021.parquet,ok,292,0,0.6,
NASDAQ_AER_2022.parquet,ok,281,0,0.6,
NASDAQ_AERI_2018.PDF.parquet,ok,262,0,0.5,
NASDAQ_AERI_2019.parquet,ok,322,0,0.6,
NASDAQ_AERI_2020.parquet,ok,424,0,0.8,
NASDAQ_AERI_2021.parquet,ok,283,0,0.5,
NASDAQ_AESE_2019.parquet,ok,232,0,0.4,
NASDAQ_AESE_2020.parquet,ok,294,0,0.5,
NASDAQ_AEYE_2016.parquet,ok,196,0,0.4,
NASDAQ_AEYE_2017.parquet,ok,200,0,0.3,
NASDAQ_AEYE_2018.parquet,ok,337,0,0.6,
NASDAQ_AEYE_2019.parquet,ok,215,0,0.4,
NASDAQ_AEYE_2020.parquet,ok,105,0,0.2,
NASDAQ_AFH_2015.parquet,ok,185,0,0.3,
NASDAQ_AFH_2016.parquet,ok,196,0,0.4,
NASDAQ_AFH_2017.parquet,ok,209,0,0.4,
NASDAQ_AFH_2018.parquet,ok,226,0,0.4,
NASDAQ_AFMD_2017.parquet,ok,130,0,0.3,
NASDAQ_AFMD_2018.parquet,ok,128,0,0.3,
NASDAQ_AFMD_2019.parquet,ok,127,0,0.3,
NASDAQ_AFMD_2020.parquet,ok,136,0,0.3,
NASDAQ_AFMD_2021.parquet,ok,140,0,0.3,
NASDAQ_AFYA_2019.parquet,ok,388,0,0.7,
NASDAQ_AFYA_2020.parquet,ok,468,0,0.9,
NASDAQ_AGEN_2019.parquet,ok,335,0,0.6,
NASDAQ_AGEN_2020.parquet,ok,300,0,0.5,
NASDAQ_AGEN_2021.parquet,ok,297,0,0.5,
NASDAQ_AGEN_2022.parquet,ok,281,0,0.5,
NASDAQ_AGFS_2018.parquet,ok,19,0,0.1,
NASDAQ_AGFS_2019.parquet,ok,6,0,0.1,
NASDAQ_AGFS_2020.parquet,ok,8,0,0.0,
NASDAQ_AGII_2016.parquet,ok,28,0,0.1,
NASDAQ_AGII_2017.parquet,ok,31,0,0.1,
NASDAQ_AGII_2020.parquet,ok,380,0,0.7,
NASDAQ_AGIO_2017.PDF.parquet,ok,270,0,0.5,
NASDAQ_AGIO_2018.parquet,ok,245,0,0.4,
NASDAQ_AGIO_2019.parquet,ok,276,0,0.5,
NASDAQ_AGIO_2020.parquet,ok,286,0,0.5,
NASDAQ_AGIO_2021.parquet,ok,251,0,0.4,
NASDAQ_AGLE_2017.parquet,ok,212,0,0.4,
NASDAQ_AGLE_2018.parquet,ok,220,0,0.4,
NASDAQ_AGLE_2019.parquet,ok,210,0,0.4,
NASDAQ_AGLE_2020.parquet,ok,269,0,0.5,
NASDAQ_AGLE_2021.parquet,ok,221,0,0.4,
NASDAQ_AGMH_2017.parquet,ok,186,0,0.3,
NASDAQ_AGMH_2018.parquet,ok,199,0,0.4,
NASDAQ_AGMH_2019.parquet,ok,219,0,0.4,
NASDAQ_AGMH_2020.parquet,ok,186,0,0.3,
NASDAQ_AGNC_2019.parquet,ok,41,0,0.1,
NASDAQ_AGNC_2020.parquet,ok,169,0,0.3,
NASDAQ_AGNC_2021.parquet,ok,159,0,0.3,
NASDAQ_AGNC_2022.parquet,ok,206,0,0.4,
NASDAQ_AGRX_2018.parquet,ok,261,0,0.5,
NASDAQ_AGRX_2019.parquet,ok,219,0,0.4,
NASDAQ_AGRX_2020.parquet,ok,316,0,0.6,
NASDAQ_AGRX_2021.parquet,ok,199,0,0.4,
NASDAQ_AGTC_2018.parquet,ok,562,0,1.0,
NASDAQ_AGTC_2019.parquet,ok,327,0,0.6,
NASDAQ_AGTC_2020.parquet,ok,296,0,0.5,
NASDAQ_AGTC_2021.parquet,ok,401,0,0.7,
NASDAQ_AGYS_2019.parquet,ok,107,0,0.2,
NASDAQ_AGYS_2020.parquet,ok,119,0,0.2,
NASDAQ_AGYS_2021.parquet,ok,110,0,0.2,
NASDAQ_AGYS_2022.parquet,ok,118,0,0.2,
NASDAQ_AHCO_2019.parquet,ok,300,0,0.7,
NASDAQ_AHCO_2020.parquet,ok,246,0,0.5,
NASDAQ_AHCO_2021.parquet,ok,281,0,0.6,
NASDAQ_AHPI_2017.parquet,ok,78,0,0.2,
NASDAQ_AHPI_2018.parquet,ok,78,0,0.2,
NASDAQ_AHPI_2019.parquet,ok,77,0,0.2,
NASDAQ_AHPI_2020.parquet,ok,97,0,0.2,
NASDAQ_AHPI_2021.parquet,ok,86,0,0.2,
NASDAQ_AIMC_2018.parquet,ok,173,0,0.3,
NASDAQ_AIMC_2019.parquet,ok,163,0,0.3,
NASDAQ_AIMC_2020.parquet,ok,140,0,0.3,
NASDAQ_AIMC_2021.parquet,ok,140,0,0.3,
NASDAQ_AIMT_2015.PDF.parquet,ok,168,0,0.3,
NASDAQ_AIMT_2016.parquet,ok,193,0,0.4,
NASDAQ_AIMT_2017.parquet,ok,203,0,0.4,
NASDAQ_AIMT_2018.parquet,ok,240,0,0.5,
NASDAQ_AINV_2019.parquet,ok,260,0,0.5,
NASDAQ_AINV_2020.parquet,ok,345,0,0.7,
NASDAQ_AINV_2021.parquet,ok,306,0,0.6,
NASDAQ_AINV_2022.parquet,ok,257,0,0.5,
NASDAQ_AIRT_2017.parquet,ok,167,0,0.4,
NASDAQ_AIRT_2018.parquet,ok,177,0,0.3,
NASDAQ_AIRT_2019.parquet,ok,143,0,0.3,
NASDAQ_AIRT_2020.parquet,ok,142,0,0.3,
NASDAQ_AIRT_2021.parquet,ok,143,0,0.3,
NASDAQ_AKAM_2019.parquet,ok,15,0,0.1,
NASDAQ_AKAM_2020.parquet,ok,157,0,0.3,
NASDAQ_AKAM_2021.parquet,ok,129,0,0.2,
NASDAQ_AKAM_2022.parquet,ok,161,0,0.3,
NASDAQ_AKBA_2019.parquet,ok,417,0,0.8,
NASDAQ_AKBA_2020.parquet,ok,490,0,1.0,
NASDAQ_AKBA_2021.parquet,ok,750,0,1.4,
NASDAQ_AKBA_2022.parquet,ok,544,0,1.0,
NASDAQ_AKCA_2017.parquet,ok,273,0,0.5,
NASDAQ_AKCA_2018.parquet,ok,358,0,0.7,
NASDAQ_AKER_2016.parquet,ok,166,0,0.3,
NASDAQ_AKER_2017.parquet,ok,181,0,0.4,
NASDAQ_AKER_2018.parquet,ok,149,0,0.3,
NASDAQ_AKER_2019.parquet,ok,193,0,0.4,
NASDAQ_AKRO_2019.parquet,ok,428,0,0.7,
NASDAQ_AKRO_2020.parquet,ok,262,0,0.5,
NASDAQ_AKRO_2021.parquet,ok,287,0,0.5,
NASDAQ_AKRX_2015.parquet,ok,470,0,1.0,
NASDAQ_AKRX_2016.parquet,ok,165,0,0.3,
NASDAQ_AKRX_2017.parquet,ok,218,0,0.4,
NASDAQ_AKRX_2018.parquet,ok,167,0,0.3,
NASDAQ_AKTS_2017.parquet,ok,152,0,0.3,
NASDAQ_AKTS_2018.parquet,ok,142,0,0.3,
NASDAQ_AKTS_2019.parquet,ok,238,0,0.4,
NASDAQ_AKTS_2020.parquet,ok,151,0,0.3,
NASDAQ_AKTS_2021.parquet,ok,140,0,0.3,
NASDAQ_AKTX_2017.parquet,ok,1,0,0.0,
NASDAQ_AKTX_2018.parquet,ok,54,0,0.1,
NASDAQ_AKTX_2019.parquet,ok,59,0,0.1,
NASDAQ_AKTX_2020.parquet,ok,63,0,0.1,
NASDAQ_AKTX_2021.parquet,ok,62,0,0.1,
NASDAQ_ALBO_2019.parquet,ok,242,0,0.5,
NASDAQ_ALBO_2020.parquet,ok,241,0,0.4,
NASDAQ_ALCO_2019.parquet,ok,204,0,0.4,
NASDAQ_ALCO_2020.parquet,ok,208,0,0.4,
NASDAQ_ALCO_2021.parquet,ok,272,0,0.5,
NASDAQ_ALCO_2022.parquet,ok,360,0,0.7,
NASDAQ_ALDR_2015.parquet,ok,172,0,0.4,
NASDAQ_ALDR_2016.parquet,ok,218,0,0.4,
NASDAQ_ALDR_2017.parquet,ok,250,0,0.5,
NASDAQ_ALDR_2018.parquet,ok,401,0,0.7,
NASDAQ_ALDX_2017.parquet,ok,183,0,0.3,
NASDAQ_ALDX_2018.parquet,ok,200,0,0.4,
NASDAQ_ALDX_2019.parquet,ok,240,0,0.5,
NASDAQ_ALDX_2020.parquet,ok,219,0,0.4,
NASDAQ_ALDX_2021.parquet,ok,239,0,0.5,
NASDAQ_ALEC_2018.parquet,ok,238,0,0.5,
NASDAQ_ALEC_2019.parquet,ok,262,0,0.5,
NASDAQ_ALEC_2020.parquet,ok,255,0,0.5,
NASDAQ_ALEC_2021.parquet,ok,277,0,0.5,
NASDAQ_ALGN_2019.parquet,ok,310,0,0.6,
NASDAQ_ALGN_2020.parquet,ok,258,0,0.6,
NASDAQ_ALGN_2021.parquet,ok,231,0,0.5,
NASDAQ_ALGN_2022.parquet,ok,478,0,1.0,
NASDAQ_ALGT_2019.parquet,ok,124,0,0.3,
NASDAQ_ALGT_2020.parquet,ok,135,0,0.3,
NASDAQ_ALGT_2021.parquet,ok,118,0,0.2,
NASDAQ_ALGT_2022.parquet,ok,242,0,0.5,
NASDAQ_ALIM_2019.parquet,ok,312,0,0.6,
NASDAQ_ALIM_2020.parquet,ok,196,0,0.4,
NASDAQ_ALIM_2021.parquet,ok,199,0,0.4,
NASDAQ_ALIM_2022.parquet,ok,222,0,0.4,
NASDAQ_ALJJ_2022.parquet,ok,114,0,0.2,
NASDAQ_ALKS_2018.parquet,ok,259,0,0.5,
NASDAQ_ALKS_2019.parquet,ok,276,0,0.6,
NASDAQ_ALKS_2020.parquet,ok,278,0,0.6,
NASDAQ_ALKS_2021.parquet,ok,301,0,0.6,
NASDAQ_ALLK_2018.parquet,ok,218,0,0.5,
NASDAQ_ALLK_2019.parquet,ok,330,0,0.7,
NASDAQ_ALLK_2020.parquet,ok,273,0,0.5,
NASDAQ_ALLK_2021.parquet,ok,253,0,0.5,
NASDAQ_ALLO_2018.parquet,ok,545,0,1.0,
NASDAQ_ALLO_2019.parquet,ok,380,0,0.8,
NASDAQ_ALLO_2020.parquet,ok,459,0,0.9,
NASDAQ_ALLO_2021.parquet,ok,292,0,0.6,
NASDAQ_ALLT_2017.parquet,ok,236,0,0.5,
NASDAQ_ALLT_2018.parquet,ok,231,0,0.4,
NASDAQ_ALLT_2019.parquet,ok,243,0,0.5,
NASDAQ_ALLT_2020.parquet,ok,252,0,0.5,
NASDAQ_ALLT_2021.parquet,ok,244,0,0.5,
NASDAQ_ALNA_2017.parquet,ok,359,0,0.7,
NASDAQ_ALNA_2018.parquet,ok,282,0,0.5,
NASDAQ_ALNA_2019.parquet,ok,301,0,0.6,
NASDAQ_ALNA_2020.parquet,ok,327,0,0.6,
NASDAQ_ALOT_2019.parquet,ok,113,0,0.3,
NASDAQ_ALOT_2020.parquet,ok,112,0,0.2,
NASDAQ_ALOT_2021.parquet,ok,123,0,0.3,
NASDAQ_ALOT_2022.parquet,ok,112,0,0.2,
NASDAQ_ALPN_2017.parquet,ok,407,0,0.8,
NASDAQ_ALPN_2018.parquet,ok,247,0,0.5,
NASDAQ_ALPN_2019.parquet,ok,249,0,0.5,
NASDAQ_ALPN_2020.parquet,ok,308,0,0.6,
NASDAQ_ALPN_2021.parquet,ok,414,0,0.9,
NASDAQ_ALRM_2017.parquet,ok,233,0,0.5,
NASDAQ_ALRM_2018.parquet,ok,243,0,0.5,
NASDAQ_ALRM_2019.parquet,ok,267,0,0.5,
NASDAQ_ALRM_2020.parquet,ok,225,0,0.4,
NASDAQ_ALRM_2021.parquet,ok,290,0,0.6,
NASDAQ_ALRN_2018.parquet,ok,385,0,0.7,
NASDAQ_ALRN_2019.parquet,ok,309,0,0.6,
NASDAQ_ALRN_2020.parquet,ok,232,0,0.4,
NASDAQ_ALRN_2021.parquet,ok,228,0,0.4,
NASDAQ_ALRS_2017.parquet,ok,62,0,0.2,
NASDAQ_ALRS_2018.parquet,ok,19,0,0.1,
NASDAQ_ALRS_2019.parquet,ok,254,0,0.5,
NASDAQ_ALRS_2020.parquet,ok,270,0,0.5,
NASDAQ_ALRS_2021.parquet,ok,255,0,0.6,
NASDAQ_ALSK_2017.parquet,ok,200,0,0.4,
NASDAQ_ALSK_2018.parquet,ok,173,0,0.3,
NASDAQ_ALSK_2019.parquet,ok,156,0,0.3,
NASDAQ_ALSK_2020.parquet,ok,189,0,0.4,
NASDAQ_ALT_2017.parquet,ok,276,0,0.6,
NASDAQ_ALT_2018.parquet,ok,285,0,0.6,
NASDAQ_ALT_2019.parquet,ok,302,0,0.6,
NASDAQ_ALT_2020.parquet,ok,335,0,0.7,
NASDAQ_ALT_2021.parquet,ok,314,0,0.6,
NASDAQ_ALTM_2018.parquet,ok,612,0,1.3,
NASDAQ_ALTM_2019.parquet,ok,229,0,0.5,
NASDAQ_ALTR_2017.parquet,ok,198,0,0.4,
NASDAQ_ALTR_2018.parquet,ok,223,0,0.4,
NASDAQ_ALTR_2019.parquet,ok,232,0,0.4,
