pdf_path,status,elapsed_seconds,n_chunks_word_count,form_type,company_name_mismatch,n_chunks_numeric_dense,error
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2017.pdf,ok,69.0,432,20-F,,86,
../downolad_files\data/nasdaq_annual_reports/9f-inc/NASDAQ_JFU_2020.pdf,ok,146.4,483,20-F,,59,
../downolad_files\data/nasdaq_annual_reports/9-meters-biopharma-inc/NASDAQ_NMTR_2017.pdf,ok,194.9,647,10-K,True,34,
../downolad_files\data/nasdaq_annual_reports/9f-inc/NASDAQ_JFU_2019.pdf,ok,179.2,588,20-F,,67,
../downolad_files\data/nasdaq_annual_reports/9f-inc/NASDAQ_JFU_2021.pdf,ok,143.2,442,20-F,,45,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2021.pdf,ok,49.1,224,10-K,False,16,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2019.pdf,ok,88.8,500,20-F,,80,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2018.pdf,ok,54.3,190,10-K,False,33,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2019.pdf,ok,48.1,202,10-K,False,32,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2020.pdf,ok,32.7,174,10-K,False,31,
../downolad_files\data/nasdaq_annual_reports/Green-Plains-Partners-LP/NASDAQ_GPP_2021.pdf,ok,28.0,156,10-K,True,25,
../downolad_files\data/nasdaq_annual_reports/Hurco-companies-Inc/NASDAQ_HURC_2019.pdf,ok,41.1,267,10-K,False,79,
../downolad_files\data/nasdaq_annual_reports/Eldorado-Resorts-Inc/NASDAQ_ERI_2020.pdf,ok,118.3,373,10-K,True,87,
../downolad_files\data/nasdaq_annual_reports/Hurco-companies-Inc/NASDAQ_HURC_2021.pdf,ok,44.5,274,10-K,False,70,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2016_be053643da474abb9e048daf1ac9aa5f.pdf,ok,16.9,140,10-K,False,40,
../downolad_files\data/nasdaq_annual_reports/DBV/NASDAQ_DBVT_2020.pdf,ok,152.1,424,10-K,False,30,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2017_f648bdecfe524b9ab55f6e702d3f397b.pdf,ok,19.0,153,10-K,False,43,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2015.pdf,ok,1.7,7,,,2,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2016.pdf,ok,2.8,6,,,1,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2018.pdf,ok,19.0,174,10-K,False,48,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2017.pdf,ok,1.8,7,,,1,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2019.pdf,ok,17.3,171,10-K,False,42,
../downolad_files\data/nasdaq_annual_reports/Hurco-companies-Inc/NASDAQ_HURC_2020.pdf,ok,69.7,362,10-K,False,77,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2018.pdf,ok,3.1,9,,,1,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corp/NASDAQ_INDB_2019.pdf,ok,2.5,9,,,1,
../downolad_files\data/nasdaq_annual_reports/Hurco-companies-Inc/NASDAQ_HURC_2022.pdf,ok,51.4,259,10-K,False,68,
../downolad_files\data/nasdaq_annual_reports/ICU-medical-Incorporated/NASDAQ_ICUI_2020.PDF,ok,27.3,15,,,1,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corporation/NASDAQ_IBCP_2016.pdf,ok,18.1,142,,,68,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corporation/NASDAQ_IBCP_2019.pdf,ok,19.1,137,,,62,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corporation/NASDAQ_IBCP_2017_f4884b55347f43f09dc5f6b860f3148e.pdf,ok,22.5,140,,,67,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corporation/NASDAQ_IBCP_2020.pdf,ok,37.5,205,10-K,False,86,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-group-Inc/NASDAQ_IBTX_2015.pdf,ok,27.5,191,10-K,False,49,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-group-Inc/NASDAQ_IBTX_2016.pdf,ok,28.2,27,,,2,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-group-Inc/NASDAQ_IBTX_2018.pdf,ok,28.4,244,10-K,False,89,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-corporation/NASDAQ_IBCP_2018.pdf,ok,50.6,143,,,66,
../downolad_files\data/nasdaq_annual_reports/Innospec-Inc/NASDAQ_IOSP_2016.pdf,ok,22.3,118,10-K,False,48,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-group-Inc/NASDAQ_IBTX_2017.pdf,ok,44.7,250,10-K,False,59,
../downolad_files\data/nasdaq_annual_reports/Innospec-Inc/NASDAQ_IOSP_2017.pdf,ok,22.8,119,10-K,False,49,
../downolad_files\data/nasdaq_annual_reports/Innospec-Inc/NASDAQ_IOSP_2018.pdf,ok,22.6,117,10-K,False,46,
../downolad_files\data/nasdaq_annual_reports/Independent-bank-group-Inc/NASDAQ_IBTX_2020.pdf,ok,37.5,218,10-K,False,50,
../downolad_files\data/nasdaq_annual_reports/Innospec-Inc/NASDAQ_IOSP_2019.pdf,ok,30.8,141,10-K,False,45,
../downolad_files\data/nasdaq_annual_reports/Innospec-Inc/NASDAQ_IOSP_2020.pdf,ok,25.2,121,10-K,False,48,
../downolad_files\data/nasdaq_annual_reports/Inogen-Inc/NASDAQ_INGN_2017.pdf,ok,36.1,262,10-K,False,50,
../downolad_files\data/nasdaq_annual_reports/Inogen-Inc/NASDAQ_INGN_2016.pdf,ok,45.7,273,10-K,False,54,
../downolad_files\data/nasdaq_annual_reports/Inogen-Inc/NASDAQ_INGN_2019.pdf,ok,41.7,266,10-K,False,44,
../downolad_files\data/nasdaq_annual_reports/Inogen-Inc/NASDAQ_INGN_2018.pdf,ok,48.9,251,10-K,False,51,
../downolad_files\data/nasdaq_annual_reports/Inogen-Inc/NASDAQ_INGN_2020.pdf,ok,42.2,291,10-K,False,46,
../downolad_files\data/nasdaq_annual_reports/Insmed-Incorporated/NASDAQ_INSM_2016.pdf,ok,49.7,333,10-K,False,30,
