pdf_path,company,registrant_name,company_name_mismatch,error
../downolad_files/data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2020.pdf,Green-Plains-Partners-LP,GREEN PLAINS PARTNERS LP,False,
../downolad_files/data/nasdaq_annual_reports\Green-Plains-Partners-LP\NASDAQ_GPP_2021.pdf,Green-Plains-Partners-LP,,,
../downolad_files/data/nasdaq_annual_reports\Eldorado-Resorts-Inc\NASDAQ_ERI_2020.pdf,Eldorado-Resorts-Inc,"CAESARS ENTERTAINMENT, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2019.pdf,Hurco-companies-Inc,"HURCO COMPANIES, INC.",False,
../downolad_files/data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2016_be053643da474abb9e048daf1ac9aa5f.pdf,ICU-medical-Incorporated,"ICU MEDICAL, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2021.pdf,Hurco-companies-Inc,"HURCO COMPANIES,INC.",False,
../downolad_files/data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2022.pdf,Hurco-companies-Inc,"HURCO COMPANIES, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Hurco-companies-Inc\NASDAQ_HURC_2020.pdf,Hurco-companies-Inc,"HURCO COMPANIES, INC.",False,
../downolad_files/data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2017_f648bdecfe524b9ab55f6e702d3f397b.pdf,ICU-medical-Incorporated,"ICU MEDICAL, INC.",False,
../downolad_files/data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2018.pdf,ICU-medical-Incorporated,"ICU MEDICAL, INC.",False,
../downolad_files/data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2019.pdf,ICU-medical-Incorporated,"ICU MEDICAL, INC.",False,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2015.pdf,Independent-bank-corp,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2016.pdf,Independent-bank-corp,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2017.pdf,Independent-bank-corp,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2018.pdf,Independent-bank-corp,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corp\NASDAQ_INDB_2019.pdf,Independent-bank-corp,,,
../downolad_files/data/nasdaq_annual_reports\ICU-medical-Incorporated\NASDAQ_ICUI_2020.PDF,ICU-medical-Incorporated,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2016.pdf,Independent-bank-corporation,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2017_f4884b55347f43f09dc5f6b860f3148e.pdf,Independent-bank-corporation,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2019.pdf,Independent-bank-corporation,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2015.pdf,Independent-bank-group-Inc,"Independent Bank Group, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2020.pdf,Independent-bank-corporation,INDEPENDENT BANK CORPORATION,False,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2016.pdf,Independent-bank-group-Inc,,,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2017.pdf,Independent-bank-group-Inc,"Independent Bank Group, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2018.pdf,Independent-bank-group-Inc,"Independent Bank Group, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2020.pdf,Independent-bank-group-Inc,"Independent Bank Group, Inc.",False,
../downolad_files/data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2016.pdf,Innospec-Inc,INNOSPEC INC.,False,
../downolad_files/data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2017.pdf,Innospec-Inc,INNOSPEC INC.,False,
../downolad_files/data/nasdaq_annual_reports\Independent-bank-corporation\NASDAQ_IBCP_2018.pdf,Independent-bank-corporation,,,
../downolad_files/data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2018.pdf,Innospec-Inc,INNOSPEC INC.,False,
