path,pages,words,paragraphs,sliding_window_chunks,error
data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2016.pdf,142,20641,150,412,
data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2017.pdf,180,98276,175,1965,
data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2018.pdf,156,81974,156,1639,
data/nasdaq_annual_reports\Independent-bank-group-Inc\NASDAQ_IBTX_2020.pdf,160,84810,157,1696,
data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2016.pdf,112,38206,132,764,
data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2017.pdf,114,38343,140,766,
data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2018.pdf,115,37379,135,747,
data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2019.pdf,131,43788,132,875,
data/nasdaq_annual_reports\Innospec-Inc\NASDAQ_IOSP_2020.pdf,121,37807,138,756,
data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2016.pdf,142,91002,590,1820,
data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2017.pdf,138,86878,233,1737,
data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2018.pdf,136,81623,234,1632,
data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2019.pdf,140,87490,207,1749,
data/nasdaq_annual_reports\Inogen-Inc\NASDAQ_INGN_2020.pdf,146,94418,201,1888,
data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2016.pdf,237,103138,2468,2062,
data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2017.pdf,220,111349,1886,2226,
data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2018.pdf,115,76720,1380,1534,
data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2019.pdf,64,68883,182,1377,
data/nasdaq_annual_reports\Insmed-Incorporated\NASDAQ_INSM_2020.pdf,64,72194,93,1443,
